1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
809.39,635.2,803.54,791.54,823.39,1674.53,1765.48,1812.08,923.84,945.84,950.84,1017.44,1005.64,1007.94,911.44,977.74,971.44,1942.78,1942.58,2206.98,2246.68,1081.94,978.39,933.64
903.27,848.72,848.42,844.32,856.17,1743.59,1840.28,1871.02,908.16,861.26,871.26,901.26,888.36,884.56,896.71,918.66,922.62,2345.34,2400.39,2548.09,2443.09,937.62,908.17,862.32
891.17,860.62,859.72,841.12,767.07,1491.59,1592.48,1661.12,811.36,860.46,873.06,901.56,912.26,908.86,849.51,847.26,844.82,1672.64,1712.19,2404.39,2306.19,902.62,918.97,886.62
873.57,852.62,841.12,827.12,810.77,1645.09,1697.38,1721.22,851.86,854.66,840.86,869.16,858.56,813.26,839.81,845.66,785.02,1582.64,1633.99,2152.69,2159.39,893.12,878.77,869.02
836.87,827.12,822.32,808.32,798.87,1625.19,1712.38,1786.22,921.96,928.96,930.66,925.26,940.46,954.36,956.21,957.46,935.12,1831.64,2037.49,2579.49,2545.39,1094.92,949.67,923.12
905.57,871.32,875.92,846.92,841.57,1695.79,1857.48,1914.22,907.06,930.06,989.76,956.46,959.36,932.66,925.41,889.96,917.92,1792.34,2000.89,2425.39,2425.79,1033.42,933.47,940.82
841.67,803.12,783.02,760.82,787.37,1603.19,1678.28,1768.62,860.16,854.86,885.76,889.36,894.36,913.96,944.51,941.56,945.82,1732.74,1784.39,2433.09,2209.39,887.92,884.87,873.42
849.47,766.72,724.52,684.32,684.07,1429.09,1546.88,1667.42,820.36,839.06,910.46,886.56,910.06,921.36,879.21,908.16,866.52,1686.24,1787.59,1873.89,2215.49,899.42,892.17,828.42
829.67,790.72,793.22,772.72,776.17,1566.29,1635.08,1738.02,887.76,920.36,948.96,934.66,916.26,910.66,912.91,912.26,891.42,1704.44,1802.69,2459.99,2346.89,904.82,896.67,899.72
845.37,841.42,830.42,812.02,804.57,1650.89,1705.08,1849.12,932.57,900.86,928.36,950.96,928.36,999.16,1011.01,995.39,967.02,1953.34,2016.99,2484.99,2509.49,1075.32,919.47,908.42
869.27,748.42,817.72,815.22,817.37,1628.09,1685.68,1760.12,901.76,902.56,878.66,879.76,880.66,782.36,795.21,789.36,798.32,1546.94,1464.39,2117.79,2335.89,1002.72,897.07,875.52
873.09,853.44,858.84,846.94,864.49,1677.83,1767.12,1840.16,945.18,949.68,841.91,911.88,952.38,894.78,949.23,910.68,933.63,1883.27,1754.93,2265.33,2248.83,948.44,974.79,950.94
926.85,917.4,281.5,281.5,281.05,1122.25,1754.64,1818.58,927.64,952.84,939.64,936.54,934.24,925.44,143.29,871.84,872.79,1745.39,1772.65,2150.15,2392.95,952.4,943.15,0
943.15,897.9,838.4,860.1,841.95,1752.85,1755.64,1839.58,996.24,1031.34,988.04,973.34,978.94,934.44,944.39,903.44,903.69,1829.79,1977.35,2467.15,2444.25,915.4,905.55,892.9
876.45,822.6,847.4,789.1,780.95,1576.15,1577.64,1630.68,803.34,808.64,818.94,843.74,828.54,803.64,816.19,888.84,858.89,1696.49,2177.85,2457.45,2457.55,900.2,833.75,838.8
823.1,817.5,801.9,787.3,798.75,1616.15,1694.94,1780.98,904.74,902.14,936.44,928.94,936.84,919.34,923.19,917.74,862.29,1736.59,1732.05,2484.05,2495.15,921.4,907.75,903.5
885.55,853.3,835.9,823,795.35,1606.15,1683.04,1795.48,855.84,141.24,854.84,909.04,919.24,923.24,925.39,926.14,900.19,1786.69,2046.55,2185.15,1911.25,141.7,849.75,842.8
808.95,770.4,736.3,744.8,751.65,1478.65,1579.74,1619.18,802.44,823.24,843.94,806.94,770.64,779.04,795.89,810.24,781.79,1559.59,1829.25,2329.85,2277.05,843.4,832.55,793.3
773.85,757.4,739.3,729.4,646.15,1396.05,1603.04,1612.45,820.64,870.44,892.74,887.84,864.74,830.54,782.39,771.24,722.69,1555.69,1585.75,1788.85,1782.95,864.6,847.55,784.2
773.05,761.7,735.4,742.2,748.55,1493.85,1574.44,1543.28,813.04,893.14,906.04,907.04,928.34,870.34,856.29,871.14,889.79,1635.29,1646.85,2083.35,2380.75,887.7,878.75,698
786.65,739.9,741.2,723.7,753.05,1512.65,1611.54,1653.28,855.04,880.64,833.04,869.74,865.74,827.04,842.99,827.64,758.69,1598.29,1933.25,2319.4,2291.85,860.2,768.05,795.7
764.45,743,719.9,699.9,703.65,1428.05,1494.34,1559.28,833.64,838.94,861.94,823.24,849.04,883.74,820.79,782.14,735.79,1652.79,1672.05,2365.85,2356.75,831.3,791.65,778
746.45,722.1,703.2,223.5,720.35,1520.35,1600.34,1662.38,827.34,813.14,779.94,846.44,850.04,833.94,850.89,846.04,861.29,1674.39,1808.95,2446.15,2062.75,876,813.85,803.4
790.45,811.8,762.8,766.8,790.25,1567.45,1704.44,1716.88,886.84,885.54,890.84,885.24,883.94,897.74,898.19,852.94,870.19,1613.89,1670.05,2440.15,2368.15,906,894.25,863.8
812.35,800.4,807.8,809,800.75,1618.15,1631.94,1678.68,845.74,855.24,878.24,859.94,857.44,850.94,834.39,822.74,828.19,1605.79,1752.55,2399.97,2424.65,874.4,887.55,878.1
715.25,798.6,777.8,762,761.95,1495.15,1575.34,1656.78,824.14,828.64,845.84,866.74,833.94,828.44,859.09,851.14,832.19,1640.09,1769.15,2407.75,2131.25,796.4,783.15,755.4
734.25,690.7,672.6,684.6,635.15,1489.05,1800.54,1782.48,893.24,873.34,887.74,867.54,838.54,836.64,863.19,853.94,797.29,1677.39,1989.45,2253.05,2181.95,804.1,802.65,786
765.55,755.1,747.7,728.9,729.65,1476.85,1573.04,1634.48,826.74,773.14,764.64,724.04,743.04,799.24,836.99,796.34,793.09,1560.99,1764.15,2307.15,2247.15,797.2,759.25,766.7
718.85,720.6,718.7,704.1,703.15,1495.25,1617.34,1688.68,827.14,825.64,820.14,795.64,791.34,812.84,833.99,834.04,806.59,1582.99,1659.55,2384.95,2379.35,867.4,879.75,820.3
819.85,775.9,767.5,768.1,769.35,1554.45,1644.14,1675.68,849.54,845.74,878.74,884.04,894.84,884.04,855.69,883.04,861.39,1686.49,1706.35,2126.95,2375.45,890.7,856.75,873.8
